pathway_name	category	organism_scope	source	source_id	notes
Sterols are 12-hydroxylated by CYP8B1	Biological oxidations	Homo sapiens	reactome	R-HSA-211994	
Sulfide oxidation to sulfate	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-1614517	
Sulfur amino acid metabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-1614635	
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142816	
Synthesis of 12-eicosatetraenoic acid derivatives	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142712	
Synthesis of 15-eicosatetraenoic acid derivatives	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142770	
Synthesis of 5-eicosatetraenoic acids	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142688	
Synthesis of BMP	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483171	
Synthesis of CL	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483076	
Synthesis of Hepoxilins (HX) and Trioxilins (TrX)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142696	
Synthesis of IP2, IP, and Ins in the cytosol	Inositol phosphate metabolism	Homo sapiens	reactome	R-HSA-1855183	
Synthesis of IP3 and IP4 in the cytosol	Inositol phosphate metabolism	Homo sapiens	reactome	R-HSA-1855204	
Synthesis of IPs in the ER lumen	Inositol phosphate metabolism	Homo sapiens	reactome	R-HSA-1855231	
Synthesis of IPs in the nucleus	Inositol phosphate metabolism	Homo sapiens	reactome	R-HSA-1855191	
Synthesis of Ketone Bodies	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77111	
Synthesis of Leukotrienes (LT) and Eoxins (EX)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142691	
Synthesis of PA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483166	
Synthesis of PC	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483191	
Synthesis of PE	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483213	
Synthesis of PG	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483148	
Synthesis of PI	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483226	
Synthesis of PIPs at the ER membrane	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483248	
Synthesis of PIPs at the Golgi membrane	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1660514	
Synthesis of PIPs at the early endosome membrane	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1660516	
Synthesis of PIPs at the late endosome membrane	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1660517	
Synthesis of PIPs at the plasma membrane	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1660499	
Synthesis of PIPs in the nucleus	Metabolism of lipids	Homo sapiens	reactome	R-HSA-8847453	
Synthesis of PS	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1483101	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2162123	
Synthesis of bile acids and bile salts	Metabolism of lipids	Homo sapiens	reactome	R-HSA-192105	
Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Metabolism of lipids	Homo sapiens	reactome	R-HSA-193775	
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Metabolism of lipids	Homo sapiens	reactome	R-HSA-193807	
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Metabolism of lipids	Homo sapiens	reactome	R-HSA-193368	
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142670	
Synthesis of pyrophosphates in the cytosol	Inositol phosphate metabolism	Homo sapiens	reactome	R-HSA-1855167	
Synthesis of very long-chain fatty acyl-CoAs	Metabolism of lipids	Homo sapiens	reactome	R-HSA-75876	
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-1474151	
The fatty acid cycling model	Aerobic respiration and respiratory electron transport	Homo sapiens	reactome	R-HSA-167826	
Threonine catabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-8849175	
Thyroxine biosynthesis	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-209968	
Transport and metabolism of PAPS	Metabolism of carbohydrates and carbohydrate derivatives	Homo sapiens	reactome	R-HSA-174362	
Transport of RCbl within the body	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-9758890	
Triglyceride biosynthesis	Metabolism of lipids	Homo sapiens	reactome	R-HSA-75109	
Triglyceride catabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-163560	
Triglyceride metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-8979227	
Tryptophan catabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-71240	
Tyrosine catabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-8963684	
Ubiquinol biosynthesis	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-2142789	
Uptake of dietary cobalamins into enterocytes	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-9758881	
Urea cycle	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-70635	
Utilization of Ketone Bodies	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77108	
Vitamin B1 (thiamin) metabolism	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-196819	
Vitamin B2 (riboflavin) metabolism	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-196843	
Vitamin B5 (pantothenate) metabolism	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-199220	
Vitamin B6 activation to pyridoxal phosphate	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-964975	
Vitamin C (ascorbate) metabolism	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-196836	
Vitamin D (calciferol) metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-196791	
Vitamin E transport	Metabolism of vitamins and cofactors	Homo sapiens	reactome	R-HSA-8877627	
Vitamins	Biological oxidations	Homo sapiens	reactome	R-HSA-211916	
Wax and plasmalogen biosynthesis	Metabolism of lipids	Homo sapiens	reactome	R-HSA-8848584	
Wax biosynthesis	Metabolism of lipids	Homo sapiens	reactome	R-HSA-9640463	
Xenobiotics	Biological oxidations	Homo sapiens	reactome	R-HSA-211981	
Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-6807062	
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2046104	
alpha-linolenic acid (ALA) metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2046106	
eNOS activation	Metabolism of nitric oxide: NOS3 activation and regulation	Homo sapiens	reactome	R-HSA-203615	
mitochondrial fatty acid beta-oxidation of saturated fatty acids	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77286	
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77288	
